links,account,accountingbook,accountingperiod,amount,department,iscustomglline,subsidiary
[],111,1,33,3142.21,-1,F,34
[],111,1,34,-83.61,-1,F,3
[],111,1,34,1607.2,-1,F,4
[],111,1,34,165.86,-1,F,6
[],111,1,34,0,-1,F,11
[],111,1,34,-450,-1,F,13
[],111,1,34,684,-1,F,14
[],111,1,34,-12089.88,-1,F,15
[],111,1,34,-19502.86,-1,F,16
[],111,1,34,0,-1,F,18
[],111,1,34,-2514.78,-1,F,19
[],111,1,34,79130.83,-1,F,20
[],111,1,34,433,-1,F,22
[],111,1,34,12807.02,-1,F,27
[],111,1,34,-22579.84,-1,F,34
[],111,1,34,0,-1,F,40
[],111,1,35,19736.17,-1,F,21
[],111,1,38,-2482.11,-1,F,5
[],111,1,38,-4100,-1,F,11
[],111,1,38,-975,-1,F,12
[],111,1,38,-22100.17,-1,F,13
[],111,1,38,-613.2,-1,F,14
[],111,1,38,-47716.58,-1,F,15
[],111,1,38,-11654.26,-1,F,16
[],111,1,38,-1079,-1,F,18
[],111,1,38,-19736.17,-1,F,21
[],111,1,38,-4.26,-1,F,23
[],111,1,38,-17376.08,-1,F,27
[],111,1,39,2032.11,-1,F,5
[],111,1,39,0,-1,F,11
[],111,1,39,-136.16,-1,F,12
[],111,1,39,20635.91,-1,F,13
[],111,1,39,-18023.21,-1,F,14
[],111,1,39,37689.45,-1,F,15
[],111,1,39,12927.77,-1,F,16
[],111,1,39,-4950,-1,F,18
[],111,1,39,0,-1,F,21
[],111,1,39,445.18,-1,F,23
[],111,1,39,-6719.43,-1,F,27
[],111,1,40,1500,-1,F,4
[],111,1,40,429.43,-1,F,5
[],111,1,40,-1500,-1,F,11
[],111,1,40,-1381.32,-1,F,12
[],111,1,40,-7681.79,-1,F,13
[],111,1,40,-341.38,-1,F,14
[],111,1,40,-7138.07,-1,F,15
[],111,1,40,-31534.33,-1,F,16
[],111,1,40,5386.5,-1,F,18
[],111,1,40,0,-1,F,21
[],111,1,40,-535.09,-1,F,23
[],111,1,40,-408.62,-1,F,27
[],111,1,42,-2256.63,-1,F,4
[],111,1,42,0.32,-1,F,5
[],111,1,42,-35716,-1,F,11
[],111,1,42,2492.48,-1,F,12
[],111,1,42,4934.84,-1,F,13
[],111,1,42,18628.49,-1,F,14
[],111,1,42,12620.53,-1,F,15
[],111,1,42,14682.07,-1,F,16
[],111,1,42,642.5,-1,F,18
[],111,1,42,0,-1,F,21
[],111,1,42,594.17,-1,F,23
[],111,1,42,12382.04,-1,F,27
[],111,1,43,-1042.07,-1,F,4
[],111,1,43,20.25,-1,F,5
[],111,1,43,2707,-1,F,11
[],111,1,43,-1432.05,-1,F,13
[],111,1,43,-7083.86,-1,F,14
[],111,1,43,-479.53,-1,F,15
[],111,1,43,6971.5,-1,F,16
[],111,1,43,-95.94,-1,F,18
[],111,1,43,0,-1,F,21
[],111,1,43,-500,-1,F,23
[],111,1,43,49003.07,-1,F,27
[],111,1,44,1649.59,-1,F,4
[],111,1,44,-333.6,-1,F,11
[],111,1,44,-44685.59,-1,F,13
[],111,1,44,7433.16,-1,F,14
[],111,1,44,-465.52,-1,F,15
[],111,1,44,8291.81,-1,F,16
[],111,1,44,-116.56,-1,F,18
[],111,1,44,-30557.5,-1,F,19
[],111,1,44,0,-1,F,21
[],111,1,44,-10980.75,-1,F,27
[],111,1,46,149.11,-1,F,4
[],111,1,46,686.6,-1,F,11
[],111,1,46,-36.37,-1,F,12
[],111,1,46,26382.15,-1,F,13
[],111,1,46,-8000.28,-1,F,15
[],111,1,46,315.44,-1,F,16
[],111,1,46,-21000,-1,F,18
[],111,1,46,30557.5,-1,F,19
[],111,1,46,0,-1,F,21
[],111,1,46,-43826.92,-1,F,27
[],111,1,47,3280.63,-1,F,6
[],111,1,47,2840,-1,F,11
[],111,1,47,36.37,-1,F,12
[],111,1,47,11885.1,-1,F,13
[],111,1,47,6298.64,-1,F,15
[],111,1,47,-190.64,-1,F,16
[],111,1,47,21212.5,-1,F,18
[],111,1,47,0,-1,F,21
[],111,1,47,-297.69,-1,F,22
[],111,1,47,18483.29,-1,F,27
[],111,1,48,-946.12,-1,F,4
[],111,1,48,-3280.63,-1,F,6
[],111,1,48,35416,-1,F,11
[],111,1,48,-850,-1,F,12
[],111,1,48,1600,-1,F,13
[],111,1,48,-24336.55,-1,F,15
[],111,1,48,-2778.97,-1,F,16
[],111,1,48,0,-1,F,21
[],111,1,48,-910.31,-1,F,22
[],111,1,48,-16109.1,-1,F,27
[],111,1,50,931.69,-1,F,4
[],111,1,50,-264.41,-1,F,6
[],111,1,50,-35416,-1,F,11
[],111,1,50,850,-1,F,12
[],111,1,50,0,-1,F,13
[],111,1,50,-3.98,-1,F,14
[],111,1,50,-42095.03,-1,F,15
[],111,1,50,2177.61,-1,F,16
[],111,1,50,-20000,-1,F,18
[],111,1,50,0,-1,F,21
[],111,1,50,1208,-1,F,22
[],111,1,50,2563.16,-1,F,27
[],111,1,51,-2082.5,-1,F,3
[],111,1,51,-1832.06,-1,F,4
[],111,1,51,-16957.93,-1,F,6
[],111,1,51,-42452.36,-1,F,11
[],111,1,51,-1500,-1,F,13
[],111,1,51,-687.87,-1,F,14
[],111,1,51,55274.97,-1,F,15
[],111,1,51,-27666.24,-1,F,16
[],111,1,51,-649.5,-1,F,18
[],111,1,51,-15519.31,-1,F,20
[],111,1,51,0,-1,F,21
[],111,1,51,-216.5,-1,F,22
[],111,1,51,-2790.57,-1,F,27
[],111,1,52,-3279.98,-1,F,3
[],111,1,52,398.3,-1,F,4
[],111,1,52,17005.84,-1,F,6
[],111,1,52,42452.36,-1,F,11
[],111,1,52,11961.6,-1,F,13
[],111,1,52,-95.69,-1,F,14
[],111,1,52,8382.22,-1,F,15
[],111,1,52,10619.6,-1,F,16
[],111,1,52,20000,-1,F,18
[],111,1,52,-20454.25,-1,F,20
[],111,1,52,0,-1,F,21
[],111,1,52,0,-1,F,22
[],111,1,52,5220.98,-1,F,27
[],111,1,56,0,-1,F,2
[],111,1,56,-777.74,-1,F,3
[],111,1,56,-1100,-1,F,4
[],111,1,56,-17873.54,-1,F,6
[],111,1,56,-2947.18,-1,F,11
[],111,1,56,-2050,-1,F,13
[],111,1,56,-5754.5,-1,F,15
[],111,1,56,-7498.73,-1,F,16
